trip_id,booking_user_id,pick_up_latitude,pick_up_longitude,drop_off_latitude,drop_off_longitude,pick_up_address,drop_off_address,trip_date_and_time,total_passengers,user_id,age,hour,day,weekday,large_group
734889,599898,30.2958783,-97.7440765,30.2848691,-97.7355144,"Shoal Crest, Rio Grande St, Austin, United States, 78705","Robert L. Patton Building (RLP), East 23rd Street, Austin, TX, USA",2025-09-08 11:47:04,9,599898,40.0,11,2025-09-08,Monday,True
734888,599898,30.2847998,-97.735696,30.2957108,-97.7442129,"University Campus, E 23rd St, Austin, United States, 78712","Cabo Bob's Burritos, Rio Grande Street, Austin, TX, USA",2025-09-08 11:07:23,9,599898,40.0,11,2025-09-08,Monday,True
734886,40479,30.270065,-97.750424,30.2655835,-97.7333707,"Market District, W 6th St, Austin, United States, 78701","601 Brushy Street, Austin, TX, USA",2025-09-08 02:18:18,7,40479,24.0,2,2025-09-08,Monday,True
734882,188142,30.2874096,-97.7451611,30.2669106,-97.7391248,"West Campus, W 23rd St, Austin, United States, 78705","The Aquarium on 6th, East 6th Street, Austin, TX, USA",2025-09-08 00:21:25,10,197332,19.0,0,2025-09-08,Monday,True
734882,188142,30.2874096,-97.7451611,30.2669106,-97.7391248,"West Campus, W 23rd St, Austin, United States, 78705","The Aquarium on 6th, East 6th Street, Austin, TX, USA",2025-09-08 00:21:25,10,188142,20.0,0,2025-09-08,Monday,True
734882,188142,30.2874096,-97.7451611,30.2669106,-97.7391248,"West Campus, W 23rd St, Austin, United States, 78705","The Aquarium on 6th, East 6th Street, Austin, TX, USA",2025-09-08 00:21:25,10,191468,20.0,0,2025-09-08,Monday,True
734882,188142,30.2874096,-97.7451611,30.2669106,-97.7391248,"West Campus, W 23rd St, Austin, United States, 78705","The Aquarium on 6th, East 6th Street, Austin, TX, USA",2025-09-08 00:21:25,10,191288,20.0,0,2025-09-08,Monday,True
734882,188142,30.2874096,-97.7451611,30.2669106,-97.7391248,"West Campus, W 23rd St, Austin, United States, 78705","The Aquarium on 6th, East 6th Street, Austin, TX, USA",2025-09-08 00:21:25,10,185867,20.0,0,2025-09-08,Monday,True
734882,188142,30.2874096,-97.7451611,30.2669106,-97.7391248,"West Campus, W 23rd St, Austin, United States, 78705","The Aquarium on 6th, East 6th Street, Austin, TX, USA",2025-09-08 00:21:25,10,198016,21.0,0,2025-09-08,Monday,True
734882,188142,30.2874096,-97.7451611,30.2669106,-97.7391248,"West Campus, W 23rd St, Austin, United States, 78705","The Aquarium on 6th, East 6th Street, Austin, TX, USA",2025-09-08 00:21:25,10,429962,20.0,0,2025-09-08,Monday,True
734882,188142,30.2874096,-97.7451611,30.2669106,-97.7391248,"West Campus, W 23rd St, Austin, United States, 78705","The Aquarium on 6th, East 6th Street, Austin, TX, USA",2025-09-08 00:21:25,10,429938,20.0,0,2025-09-08,Monday,True
734880,40479,30.2656735,-97.7336251,30.2662955,-97.7451516,"East End, E 6th St, Austin, United States, 78702","Coconut Club, Colorado Street, Austin, TX, USA",2025-09-07 23:29:21,8,301438,23.0,23,2025-09-07,Sunday,True
734880,40479,30.2656735,-97.7336251,30.2662955,-97.7451516,"East End, E 6th St, Austin, United States, 78702","Coconut Club, Colorado Street, Austin, TX, USA",2025-09-07 23:29:21,8,38409,25.0,23,2025-09-07,Sunday,True
734880,40479,30.2656735,-97.7336251,30.2662955,-97.7451516,"East End, E 6th St, Austin, United States, 78702","Coconut Club, Colorado Street, Austin, TX, USA",2025-09-07 23:29:21,8,40479,24.0,23,2025-09-07,Sunday,True
734879,599870,30.3581818,-97.5130096,30.27027,-97.749694,"13608 Clara Martin, Manor, TX, USA","Buford's, West 6th Street, Austin, TX, USA",2025-09-07 23:06:20,10,599870,34.0,23,2025-09-07,Sunday,True
734874,209067,30.2578876,-97.7263104,30.2492276,-97.7495251,"East Cesar Chavez, E Cesar Chavez St, Austin, United States, 78702","1415 S Congress Ave, Austin, TX 78704, United States",2025-09-07 22:15:39,9,209067,25.0,22,2025-09-07,Sunday,True
734870,447916,30.281902,-97.7056621,30.2847095,-97.7434527,"East Austin, Harvey St, Austin, United States, 78702","The Callaway House Austin, West 22nd Street, Austin, TX, USA",2025-09-07 21:58:54,8,581445,18.0,21,2025-09-07,Sunday,True
734870,447916,30.281902,-97.7056621,30.2847095,-97.7434527,"East Austin, Harvey St, Austin, United States, 78702","The Callaway House Austin, West 22nd Street, Austin, TX, USA",2025-09-07 21:58:54,8,447792,18.0,21,2025-09-07,Sunday,True
734870,447916,30.281902,-97.7056621,30.2847095,-97.7434527,"East Austin, Harvey St, Austin, United States, 78702","The Callaway House Austin, West 22nd Street, Austin, TX, USA",2025-09-07 21:58:54,8,447963,18.0,21,2025-09-07,Sunday,True
734870,447916,30.281902,-97.7056621,30.2847095,-97.7434527,"East Austin, Harvey St, Austin, United States, 78702","The Callaway House Austin, West 22nd Street, Austin, TX, USA",2025-09-07 21:58:54,8,447928,18.0,21,2025-09-07,Sunday,True
734870,447916,30.281902,-97.7056621,30.2847095,-97.7434527,"East Austin, Harvey St, Austin, United States, 78702","The Callaway House Austin, West 22nd Street, Austin, TX, USA",2025-09-07 21:58:54,8,448276,18.0,21,2025-09-07,Sunday,True
734870,447916,30.281902,-97.7056621,30.2847095,-97.7434527,"East Austin, Harvey St, Austin, United States, 78702","The Callaway House Austin, West 22nd Street, Austin, TX, USA",2025-09-07 21:58:54,8,447916,24.0,21,2025-09-07,Sunday,True
734870,447916,30.281902,-97.7056621,30.2847095,-97.7434527,"East Austin, Harvey St, Austin, United States, 78702","The Callaway House Austin, West 22nd Street, Austin, TX, USA",2025-09-07 21:58:54,8,522156,18.0,21,2025-09-07,Sunday,True
734870,447916,30.281902,-97.7056621,30.2847095,-97.7434527,"East Austin, Harvey St, Austin, United States, 78702","The Callaway House Austin, West 22nd Street, Austin, TX, USA",2025-09-07 21:58:54,8,449216,18.0,21,2025-09-07,Sunday,True
734871,413064,30.2928093,-97.7398999,30.2873853,-97.7424943,"North University, W 29th St, Austin, United States, 78705","The Castilian, San Antonio Street, Austin, TX, USA",2025-09-07 21:52:06,5,413064,24.0,21,2025-09-07,Sunday,False
734869,83752,30.2514927,-97.7021275,30.2891178,-97.7480087,"Govalle, E Cesar Chavez St, Austin, United States, 78702","The Villas at San Gabriel, San Gabriel Street, Austin, TX, USA",2025-09-07 21:41:38,11,390645,19.0,21,2025-09-07,Sunday,True
734869,83752,30.2514927,-97.7021275,30.2891178,-97.7480087,"Govalle, E Cesar Chavez St, Austin, United States, 78702","The Villas at San Gabriel, San Gabriel Street, Austin, TX, USA",2025-09-07 21:41:38,11,336097,21.0,21,2025-09-07,Sunday,True
734869,83752,30.2514927,-97.7021275,30.2891178,-97.7480087,"Govalle, E Cesar Chavez St, Austin, United States, 78702","The Villas at San Gabriel, San Gabriel Street, Austin, TX, USA",2025-09-07 21:41:38,11,82049,24.0,21,2025-09-07,Sunday,True
734869,83752,30.2514927,-97.7021275,30.2891178,-97.7480087,"Govalle, E Cesar Chavez St, Austin, United States, 78702","The Villas at San Gabriel, San Gabriel Street, Austin, TX, USA",2025-09-07 21:41:38,11,331482,20.0,21,2025-09-07,Sunday,True
734869,83752,30.2514927,-97.7021275,30.2891178,-97.7480087,"Govalle, E Cesar Chavez St, Austin, United States, 78702","The Villas at San Gabriel, San Gabriel Street, Austin, TX, USA",2025-09-07 21:41:38,11,390400,19.0,21,2025-09-07,Sunday,True
734869,83752,30.2514927,-97.7021275,30.2891178,-97.7480087,"Govalle, E Cesar Chavez St, Austin, United States, 78702","The Villas at San Gabriel, San Gabriel Street, Austin, TX, USA",2025-09-07 21:41:38,11,83752,22.0,21,2025-09-07,Sunday,True
734869,83752,30.2514927,-97.7021275,30.2891178,-97.7480087,"Govalle, E Cesar Chavez St, Austin, United States, 78702","The Villas at San Gabriel, San Gabriel Street, Austin, TX, USA",2025-09-07 21:41:38,11,214459,19.0,21,2025-09-07,Sunday,True
734869,83752,30.2514927,-97.7021275,30.2891178,-97.7480087,"Govalle, E Cesar Chavez St, Austin, United States, 78702","The Villas at San Gabriel, San Gabriel Street, Austin, TX, USA",2025-09-07 21:41:38,11,344005,1.0,21,2025-09-07,Sunday,True
734869,83752,30.2514927,-97.7021275,30.2891178,-97.7480087,"Govalle, E Cesar Chavez St, Austin, United States, 78702","The Villas at San Gabriel, San Gabriel Street, Austin, TX, USA",2025-09-07 21:41:38,11,404341,19.0,21,2025-09-07,Sunday,True
734869,83752,30.2514927,-97.7021275,30.2891178,-97.7480087,"Govalle, E Cesar Chavez St, Austin, United States, 78702","The Villas at San Gabriel, San Gabriel Street, Austin, TX, USA",2025-09-07 21:41:38,11,261629,21.0,21,2025-09-07,Sunday,True
